solar,wind,transmission volume
0.1,0.1,174.5
0.1,0.3,174.5
0.1,0.4,174.5
0.1,0.5,174.5
0.1,0.6,174.5
0.1,0.7,174.5
0.3,0.1,174.5
0.3,0.3,174.5
0.3,0.4,174.5
0.3,0.5,174.5
0.3,0.6,174.5
0.3,0.7,174.5
0.3,0.9,174.5
0.4,0.1,174.5
0.4,0.3,174.5
0.4,0.4,174.5
0.4,0.5,174.5
0.4,0.6,174.5
0.4,0.7,174.5
0.4,0.9,174.5
0.5,0.1,174.5
0.5,0.3,174.5
0.5,0.4,174.5
0.5,0.5,174.5
0.5,0.6,174.5
0.5,0.7,174.5
0.6,0.1,174.5
0.6,0.3,174.5
0.6,0.4,174.5
0.6,0.5,174.5
0.6,0.6,174.5
0.6,0.7,174.5
0.7,0.1,174.5
0.7,0.3,174.5
0.7,0.4,174.5
0.7,0.5,174.5
0.7,0.6,174.5
0.9,0.1,174.5
0.9,0.3,174.5
0.9,0.4,174.5
