solar,wind,solar capacity factor
0.1,0.1,11.0
0.1,0.3,11.3
0.1,0.4,11.6
0.1,0.5,11.8
0.1,0.6,11.7
0.1,0.7,11.8
0.1,0.9,11.6
0.3,0.1,11.0
0.3,0.3,11.5
0.3,0.4,11.5
0.3,0.5,11.6
0.3,0.6,11.6
0.3,0.7,11.6
0.3,0.9,10.9
0.4,0.1,11.0
0.4,0.3,11.3
0.4,0.4,11.4
0.4,0.5,11.4
0.4,0.6,11.3
0.4,0.7,10.9
0.4,0.9,10.1
0.5,0.1,10.9
0.5,0.3,10.8
0.5,0.4,11.0
0.5,0.5,11.0
0.5,0.6,10.5
0.5,0.7,10.3
0.6,0.1,10.6
0.6,0.3,10.7
0.6,0.4,10.4
0.6,0.5,10.3
0.6,0.6,10.1
0.6,0.7,10.0
0.7,0.1,10.6
0.7,0.3,10.4
0.7,0.4,10.1
0.7,0.5,10.1
0.7,0.6,9.8
0.9,0.1,10.3
0.9,0.3,10.0
0.9,0.4,9.8
